,sent1,sent2,source,model,og,qid
0,Each agent sends out are you alive signals to adjacent nodes to gather the state of the adjacent node.,Every agent sends out there are you alive signals to adjacent nodes in order to collect their neighboring state.,cs_conf,t5,1,5
1,"To cover this, it would be ideal to ask the user whether they want to improve their mood or rather stay in the same one, which would lead to a more suitable recommendation.","It would be beneficial to ask the user whether he wants to improve her mood or rather she wishes to stay in the same mood, resulting in more well-defined recommendation.",student,t5,1,23
2,"Well, the first thing to say is that my hypothesis was wrong.","Well, the first thing to say is that my hypothesis was incorrect.",medium,t5,1,10
3,"Extract inference rules, which are related to paraphrases, to improve question answering.",Improvement in answering questions related to the extraction of inference rules.,cs_conf,gpt2,1,30
4,"Here, svm yielded better accuracy metrics across the board compared to random forest.","These results showed that the svm yielded good performance over the full ga, with significantly higher accuracy on the random forest setting.",student,t5,1,26
5,The same attribute is repeatedly relaxed thereby leading to fully relaxed attributes.,It ends up repeatedly relaxing the same attribute leading to completely relaxing an attribute.,cs_conf,t5,2,1
6,The top of the right hill is the goal to which we want to guide the car.,The target where we plan to guide the car is atop the right slope.,cs_conf,t5,1,3
7,"Thus, what are its practical implications?",So what are the practical implications of this?,cs_conf,t5,2,2
8,Our bounds are never worse than the old bounds.,One can always assume that our bound is better than the old bound.,cs_conf,t5,1,7
9,So what are the practical implications of this?,"Thus, what are its practical implications?",cs_conf,t5,1,2
10,"Our last choice will be miniconda, as it can set the channel as default.","And our last option is the minimal installer miniconda will be a good choice, as it will set up defaults channel.",medium,t5,2,11
11,The ones that had the skills mentioned below were incredible to work with and we were capable of accomplishing great things in our projects.,"The work we have done is incredible, and we can do great things for it by working with those who are familiar with these skills.",medium,gpt2,1,36
12,"It is often used to evaluate their experiments using the activation functions of the receptor and the swish, which is later used as reference.","To the commonly used activation functions relu and swish, which will later be used as a benchmark for their experiments.",student,gpt2,2,53
13,"There are two camera angles, but minimal additional visuals, so following along is a real exercise in listening skills.",We have two camera angles but no extra visualizations so following along is really a visual memory exercise.,medium,t5,1,17
14,In years we specify the years we want in our resulting panel data.,We specify the years that we want to appear in the resulting gaussian panel.,medium,t5,1,16
15,"Id, weight and volume of the shipment requests are irrelevant for this research.","For this research, id is irrelevant or overweight and volume.",student,gpt2,1,47
16,It is natural to ask the model checker to return all evolution traces that lead to inconsistency or instability.,One natural approach is to ask the model checker to return all of the evolution trails whose execution leads to inconsistency or instability.,cs_conf,t5,1,6
17,Doing this over and over to distill and refine and distill your code is refactoring in essence.,"By doing it over and over, refining and refining, it is basically rewriting.",medium,gpt2,1,41
18,It can be difficult to find a perfect match for the whole career.,Finding the perfect match for each career stage is difficult.,cs_conf,gpt2,1,29
19,"The other attributes are supporting metadata, which can be used as well to decide to classify the mail as spam or ham.","The other attributes relate to supporting metadata, which can be used, if desired, to decide if a certain mail should be classified as spam or ham.",student,t5,1,18
20,This could serve as a communication protocol for platforms that mix tools; and will be used to develop a set of benchmarks.,"A platform, which combines tools, can be a communication protocol, and is used to develop reference data.",cs_conf,gpt2,1,33
21,"I hope that the promotion will soon be brought about rather quickly, as you know the necessary skills for senior management.",Now that you know the key skills needed to become a senior analyst i hope your promotion comes sooner rather than later.,medium,gpt2,2,44
22,I also use unittest in my major projects which is a python built-in library.,I'm also using an unittest project that is a python library.,medium,gpt2,1,40
23,"This implies that we can control the exact location of the board in some of our analyses, while still having enough instances to observe meaningful variations.","As we will see, this means that for some of our analyses, we can control for the exact position on the board and still have enough instances to observe meaningful variation.",cs_conf,t5,2,0
24,"In this section, we will discuss how to implement our ideas in a similar way as we discussed in the section on futures research.","The answers given from the users gave us good ideas for implementation, which will be covered later in the section corresponding to the futures lines of research.",student,gpt2,2,52
25,"Pandas and numpy provide two such libraries, which turn dirty data into clean analytic data.",Pandas and numpy are the two libraries that are at your disposal to go from dirty data to ready-to-analyze data.,medium,t5,2,13
26,"If the data were inadequate, models would be too large and they would result in false conclusions.","If the data were not sufficient, the models would overfit the data and this could lead to false conclusions.",cs_conf,gpt2,2,34
27,"This project used two common hyperparameter tuning methods, namely, the grid search method and the random grid search method.","In this project, two common methods of hyperparameter tuning were used, namely grid search, and random grid search.",student,t5,2,24
28,These are two hypothesis which could be learned by an ml algorithm.,These two hypotheses could be learned using a ml algorithm.,student,gpt2,1,51
29,"Again, we did not compare the distance of a test sentence to the levenshtein distance but found much more links to consider reviews and also found most of these different from the ones before.","As with the levenshtein distance, but now we found a lot more links to review, and also, these were different from the ones found before.",student,t5,2,19
30,To try to find the source code that is responsible for the output can be time-consuming.,It can be time-consuming to try and discover the source code responsible for generating an output.,medium,t5,1,12
31,Given these reasons we can state that this paper is relevant to an ai audience.,We can say that the article is relevant for an audience of an an aic.,student,gpt2,1,45
32,We're showing you how to use the aws model in the aws sagemacher.,Here is an article that shows how to deploy a model in aws sagemaker.,medium,gpt2,2,38
33,"By using another extractor, we'll get an additional bit of information.",We can extract a bit more by now applying a second extractor to the input.,cs_conf,gpt2,2,31
34,Data obtained on both sides of the internet need to be combined in order for this study to carry out.,"To conduct this study, we need to combine data from two different sources: twitter and weather underground.",cs_conf,gpt2,2,27
35,"As requested by kurt, we're not going back to the text of the assignment.","We are not going to replicate the assignment text here, as requested by kurt.",student,gpt2,2,48
36,The manager will have enough time to realize and defend the attack.,This gives a sufficient amount of time for the manager to realise the attack and defend it.,medium,t5,1,9
